menu,productName,price
Alcoholic Cocktails,Mojito,80
Alcoholic Cocktails,Pinacolada,80
Alcoholic Cocktails,Cosmopolitan,90
Alcoholic Cocktails,Blue Arrow,90
Alcoholic Cocktails,Margarita,100
Alcoholic Cocktails,Long Island,100
Alcoholic Cocktails,Four Leaf Clover,100
Non Alcoholic Cocktails,Atomic Cat,90
Non Alcoholic Cocktails,Classic Shirley Temple,90
Non Alcoholic Cocktails,Virgin Sex on the Beach,80
Non Alcoholic Cocktails,Mock Pink Champagne,90
Non Alcoholic Cocktails,Midnight Blue,90
Non Alcoholic Cocktails,Tropical Sunset,90
Non Alcoholic Cocktails,Strawberry Vodka,60
Liquors,Hennessy Usop,1500
Liquors,Hennessy Cognae,1000
Liquors,Belaire,600
Liquors,Mustelle,1100
Liquors,Remy Martin,1200
Liquors,Mastini,350
Liquors,Chivas,500
Liquors,Jameson,300
Liquors,Bacardi,300
Liquors,Campari,300
Liquors,Baileys,350
Liquors,Jagermeister (Big),700
Liquors,Jagermeister (Small),40
Liquors,Black & White,90
Liquors,Ascorni Agor,200
Liquors,Shaka Red,400
Liquors,Captain Morgan,300
Liquors,Cointreau,500
Liquors,Tzenpao,100
Liquors,Black Label,650
Liquors,Red Label,400
Liquors,Palasic Royal,550
Beers,Heineken,25
Beers,Hunter Gold,30
Beers,Guinness,25
Beers,Vody,25
Beers,Club,30
Soft Drinks,Plastic Malt,15
Soft Drinks,Bottle Malt,20
Soft Drinks,BB Cocktail,20
Soft Drinks,Red Bull,25
Soft Drinks,Fanta Cocktail,10
Soft Drinks,Water,5
Shisha,Shisha,150
Shisha,Ballon,50